sex,age,income,Qa1,Qa2,Qa3,Qa4,Qa5,Qa6,Qa7,Qb1,Qb2,Qb3,Qc1,Qc2,Qc3,Qc4,Qd1,Qd2,Qd3,Qd4,Qd5
1,24,2,7,7,7,7,6,5,5,4,5,6,7,6,6,7,7,6,6,6,7
2,30,3,6,6,6,6,6,5,6,1,2,1,4,4,5,3,5,6,6,5,5
2,26,3,4,3,5,5,7,4,7,5,6,4,5,5,4,3,4,5,4,5,6
1,29,2,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4
2,24,2,5,6,6,6,6,6,6,4,4,4,4,4,5,5,5,5,4,5,5
1,27,2,6,6,6,6,6,4,4,4,5,5,7,7,7,7,7,7,7,5,7
1,27,3,6,5,6,6,6,5,6,5,5,5,6,4,5,5,4,5,5,4,5
2,21,1,5,5,6,5,5,4,4,5,5,4,5,4,5,4,5,4,5,5,5
2,27,3,6,6,5,5,6,5,7,3,3,4,5,5,5,6,5,6,7,5,6
2,29,1,5,6,6,6,4,5,6,1,2,1,1,1,1,1,3,2,2,1,2
2,29,3,6,7,6,6,6,5,7,5,5,6,5,5,5,6,7,6,7,7,7
2,29,2,6,6,6,7,6,6,6,5,6,6,6,7,6,5,6,7,6,7,7
1,22,3,4,4,4,4,5,5,7,4,5,4,4,4,4,5,5,4,4,2,4
1,29,2,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,5,4,3,4
1,25,1,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,5,4,5
2,24,1,6,5,4,5,4,4,5,3,3,3,4,4,3,5,5,5,5,3,5
2,34,2,6,6,5,7,6,6,7,5,6,5,6,5,6,6,6,5,6,6,6
1,23,5,6,6,6,4,5,4,6,6,6,5,6,6,6,5,6,6,5,5,5
2,26,1,6,5,5,5,6,6,6,4,5,5,6,5,6,5,6,5,5,5,5
2,29,5,5,4,4,4,5,4,6,4,4,4,5,5,5,4,5,4,4,3,4
1,23,4,7,7,7,7,7,6,7,6,4,4,7,6,6,5,5,5,5,2,5
2,37,2,5,5,5,5,6,6,6,1,1,1,4,4,5,4,4,4,5,3,4
2,25,2,5,5,5,6,4,4,6,2,4,3,4,3,4,4,4,4,5,3,5
1,20,3,6,6,4,4,4,3,7,5,5,5,4,4,4,5,4,4,5,3,5
2,36,2,6,5,6,5,6,5,6,4,5,5,6,6,5,6,7,6,5,4,6
